product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,energy_points,sugars_points,saturated_fat_points,salt_points,fruits_points,fiber_points,proteins_points,total_negative_points,total_positive_points,total_score,nutriscore_grade
"Soda, grape",54.0,13.24,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, orange pineapple",54.0,13.24,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Caffeine free soda, lemon lime",39.0,10.7,0.0,0.01,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
Root beer,54.0,12.96,0.0,0.0275,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, strawberry",54.0,13.24,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Caffeine free cola,45.0,12.11,0.0,0.0,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Citrus soda, kountry mist",48.0,12.96,0.0,0.0175,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Red alert soda, cherry citrus",51.0,13.52,0.0,0.0175,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
"Soda, punch",54.0,13.24,0.0,0.0325,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Caffeine Free Cola,45.0,12.11,0.0,0.0,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Soda, lemon lime",39.0,10.7,0.0,0.01,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Soda, Punch",54.0,13.24,0.0,0.0325,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, orange",56.0,13.52,0.0,0.025,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
Cream soda,54.0,13.24,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, Grape",54.0,13.24,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Red cream soda,51.0,12.39,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Root Beer,54.0,12.96,0.0,0.0275,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, pineapple",54.0,13.75,0.0,0.02,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
"Soda, orange pineapple",54.0,13.33,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Old style premium draft soda, root beer",50.0,12.08,0.0,0.03,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Soda, red cream",50.0,12.5,0.0,0.025,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Cola, vanilla",42.0,11.67,0.0,0.0,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Soda, root beer",54.0,12.92,0.0,0.03,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, ginger ale",38.0,9.17,0.0,0.015,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
"Soda, strawberry",54.0,12.92,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, Orange",54.0,13.33,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, grape",54.0,12.92,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Dr. chek soda,42.0,11.25,0.0,0.015,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Cola, cherry",46.0,11.67,0.0,0.0,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Soda, peach",54.0,13.33,0.0,0.02,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, cherry limeade",54.0,12.5,0.0,0.015,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Soda, punch",54.0,13.33,0.0,0.03,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Kountry mist soda, citrus",46.0,12.92,0.0,0.02,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Caffeine free cola,42.0,11.67,0.0,0.0,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Soda, cream",54.0,12.92,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"Caffeine free soda, ginger ale",38.0,9.17,0.0,0.015,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Apple cider from concentrate,46.0,11.67,0.0,0.005,25.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Green tea with ginseng & honey drink, ginseng & honey",31.0,6.67,0.0,0.01,0.0,0.0,0.0,5,5,0,0,0,0,0,10,0,10,C
Tonic Water,37.0,9.58,0.0,0.0025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
"Apple cider from concentrate, orange spice",46.0,11.67,0.0,0.0375,16.25,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Apple cider from concentrate, salted caramel",46.0,11.67,0.0,0.0425,16.25,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Apple cider from concentrate, pear ginger",50.0,12.08,0.0,0.0375,31.25,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Sparkling soda, pomegranate",42.0,10.0,0.0,0.0,5.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
"Soda, orange",46.0,12.08,0.0,0.015,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Root beer,46.0,11.67,0.0,0.025,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Soda, orange pineapple",54.0,12.92,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Lemonade with pulp,50.0,11.25,0.0,0.005,11.25,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Cider, honeycrisp apple",50.0,11.67,0.0,0.0,100.0,0.0,0.42,7,8,0,0,10,0,0,15,10,5,C
"Cider, spiced apple",50.0,11.67,0.0,0.0,71.875,0.0,0.42,7,8,0,0,4,0,0,15,4,11,D
Apple Cider,50.0,11.67,0.0,0.0,75.0,0.0,0.42,7,8,0,0,4,0,0,15,4,11,D
"100% juice, apple cider",50.0,11.67,0.0,0.0,75.0,0.0,0.42,7,8,0,0,4,0,0,15,4,11,D
"Old-fashioned limeade, lime",47.0,10.99,0.0,0.0,5.495,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Lemonade,15.0,3.5,0.1,0.03,0.0,0.0,0.5,3,3,0,0,0,0,0,6,0,6,C
"Soda, grape",56.0,14.37,0.0,0.025,0.703125,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
"French Sparkling Soda, Blood Orange",46.0,11.25,0.0,0.0,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"French Sparkling Soda, Sicilian Lemon",58.0,14.17,0.0,0.0,12.0,0.0,0.0,9,10,0,0,0,0,0,19,0,19,E
"French Sparkling Soda, Pink Lemonade",54.0,13.33,0.0,0.0,6.665,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
"French sparkling soda, pomegranate lemon",42.0,10.0,0.0,0.0,2.5,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Root Beer,48.0,12.96,0.0,0.0325,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Dr. Tremor Soda,42.0,11.55,0.0,0.025,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
Very Low Sodium Cola,45.0,12.11,0.0,0.025,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Tahoe twist soda, lemon lime",42.0,11.27,0.0,0.025,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Soda, citrus rush",51.0,13.8,0.0,0.025,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
"Soda, grape",48.0,12.96,0.0,0.025,0.763888889,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
"Soda, cream",45.0,12.39,0.0,0.025,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Ginger Ale,39.0,10.42,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
"Soda, Cherry Cola",48.0,12.96,0.0,0.025,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Fruit juice,51.0,10.17,0.0,0.0,0.0,0.4,0.0,8,7,0,0,0,0,0,15,0,15,D
Mango Lassi Yogurt Drink,52.91098608,7.054798145,0.0,0.0,0.0,0.440924884,0.881849768,8,5,0,0,0,0,0,13,0,13,D
2% Milkfat reduced fat milk,50.0,5.0,1.25,0.12,0.0,0.0,3.33,7,4,1,1,0,0,2,13,2,11,D
Cherry Blossom Kombucha,13.5,1.27,0.0,0.00634,0.0,0.0,0.0,1,1,0,0,0,0,0,2,0,2,B
Lemonade from concentrate,46.0,10.83,0.0,0.005,5.415,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Lemonade from concentrate, raspberry",46.0,10.83,0.0,0.005,10.83,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Soda, grape",54.0,12.96,0.0,0.0175,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Cola,46.0,11.25,0.0,0.01,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Lemon lime soda,42.0,10.83,0.0,0.0425,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
Orange soda,54.0,12.92,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Grape soda,58.0,14.58,0.0,0.02,0.0,0.0,0.0,9,10,0,0,0,0,0,19,0,19,E
Root beer flavored soda,50.0,12.5,0.0,0.025,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Ginger ale soda,38.0,10.42,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Cola,45.0,11.3,0.0,0.01,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Lemon lime soda,45.0,11.02,0.0,0.0425,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Orange flavored soda,54.0,13.28,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Grape soda,62.0,14.97,0.0,0.025,0.0,0.0,0.0,9,10,0,0,0,0,0,19,0,19,E
Root beer soda,51.0,12.71,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Ginger ale soda,40.0,10.45,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Ginger ale,40.0,10.45,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
100% apple cider juice from concentrate with added ingredient,46.0,11.67,0.0,0.0375,16.66666667,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Light ultra-pasteurized eggnog, light",108.0,15.83,1.67,0.26,0.0,0.0,5.0,10,10,1,2,0,0,3,23,3,20,E
"Lemonade, light",6.0,1.25,0.0,0.015,11.45833333,0.0,0.0,0,1,0,0,0,0,0,1,0,1,B
Decaffeinated sweet tea,38.0,9.17,0.0,0.01,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
"Apple cider, apple",50.0,10.0,0.0,0.0,0.0,0.4,0.0,7,7,0,0,0,0,0,14,0,14,D
Orange soda,54.0,13.28,0.0,0.025,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Diet pink lemonade,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,B
Sparkling strawberry watermelon flavored water beverage,0.0,0.42,0.0,0.0,23.61111111,0.0,0.0,0,1,0,0,0,0,0,1,0,1,B
Caffeine free tonic water,37.0,9.58,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Caffeine free ginger ale,39.0,10.42,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Caffeine free tonic water,37.0,9.46,0.0,0.03,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Barista bill's coffee,71.0,11.25,0.83,0.095,0.0,0.0,2.08,10,8,0,1,0,0,1,19,1,18,D
Iced coffee,62.0,10.83,0.62,0.0875,0.0,0.0,2.08,9,8,0,0,0,0,1,17,1,16,D
Iced Coffee,72.0,11.83,0.85,0.09652,0.0,0.0,2.11,10,8,0,1,0,0,1,19,1,18,D
Cola,42.0,11.83,0.0,0.025,0.0,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
Ginger ale,39.0,10.42,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Caffeine free ginger beer,51.0,12.5,0.0,0.03,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Premium lemonade,50.0,11.67,0.0,0.01,4.1675,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Original lemonade,50.0,11.67,0.0,0.01,10.0025,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Raspberry lemonade,46.0,12.08,0.0,0.01,16.35,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Lemonade,54.0,13.33,0.0,0.03,5.8325,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Sweet tea,38.0,9.17,0.0,0.01,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Unsweetened tea,38.0,0.0,0.0,0.01,0.0,0.0,0.0,6,0,0,0,0,0,0,6,0,6,C
Cranberry ginger ale,42.0,10.42,0.0,0.025,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Tonic water,37.0,8.67,0.0,0.025,0.0,0.0,0.0,6,6,0,0,0,0,0,12,0,12,D
"Original lemonade, original",50.0,11.67,0.0,0.015,4.1675,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Raspberry lemonade,46.0,10.83,0.0,0.015,9.3725,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Lemon lime soda, lemon lime",42.0,9.72,0.0,0.0275,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Cranberry lime european soda,53.0,13.06,0.0,0.0,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Sicilian lemon frizzante european soda,58.0,14.55,0.0,0.0,0.0,0.0,0.0,9,10,0,0,0,0,0,19,0,19,E
Blood orange frizzante european soda,45.0,11.21,0.0,0.0,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Orange flavored soda,56.0,14.93,0.0,0.025,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
Sicilian lemon frizzante european soda,58.0,14.44,0.0,0.0,7.22,0.0,0.0,9,10,0,0,0,0,0,19,0,19,E
Sour cherry lemon frizzante european soda,53.0,13.06,0.0,0.0,0.0,0.0,0.0,8,9,0,0,0,0,0,17,0,17,D
Blood orange frizzante european soda,44.0,11.11,0.0,0.0,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Lemon lime performance sports drink, lemon lime",23.0,5.92,0.0,0.1125,0.0,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Performance sports drink, orange",8.0,1.97,0.0,0.1125,0.0,0.0,0.0,1,2,0,1,0,0,0,4,0,4,C
"Performance sports drink, lemon lime",8.0,1.97,0.0,0.1125,0.0,0.0,0.0,1,2,0,1,0,0,0,4,0,4,C
"Orange performance sports drink, orange",22.0,5.75,0.0,0.115,0.0,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Mvp maximum velocity power performance sports drink, lemon lime",22.0,5.75,0.0,0.115,0.0,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Performance sports drink, fruit punch",22.0,5.75,0.0,0.115,1.39375,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Performance sports drink, orange",8.0,2.03,0.0,0.115,0.0,0.0,0.0,1,2,0,1,0,0,0,4,0,4,C
"Performance sports drink, orange",23.0,5.92,0.0,0.1125,0.0,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Performance sports drink, fruit punch",23.0,5.92,0.0,0.1125,1.390625,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Kombucha probiotic fermented tea, mango turmeric",19.0,4.64,0.0,0.01,18.75,0.0,0.0,3,4,0,0,0,0,0,7,0,7,C
"Pineapple habanero cayenne kombucha probiotic fermented tea, pineapple habanero cayenne",14.0,3.1,0.0,0.01,20.0,0.0,0.0,1,3,0,0,0,0,0,4,0,4,C
"Cranberry peach kombucha probiotic fermented tea, cranberry peach",20.0,4.51,0.0,0.01,35.0,0.1,0.0,3,4,0,0,0,0,0,7,0,7,C
"Cranberry hibiscus kombucha probiotic fermented tea, cranberry hibiscus",14.0,3.66,0.0,0.01,18.75,0.0,0.0,1,3,0,0,0,0,0,4,0,4,C
"Ginger honey lemon probiotic fermented kombucha tea, ginger honey lemon",13.0,3.1,0.0,0.01,5.0,0.0,0.0,1,3,0,0,0,0,0,4,0,4,C
"Raspberry lemon ginger kombucha probiotic fermented tea, raspberry lemon ginger",15.0,3.8,0.0,0.01,30.0,0.0,0.0,3,3,0,0,0,0,0,6,0,6,C
"Mint lemonade probiotic fermented tea kombucha, mint lemonade",14.0,3.38,0.0,0.01,18.75,0.0,0.0,1,3,0,0,0,0,0,4,0,4,C
"Mango turmeric probiotic fermented kombucha tea, mango turmeric",20.0,4.51,0.0,0.01,18.75,0.1,0.0,3,4,0,0,0,0,0,7,0,7,C
"Organic kombucha probiotic fermented tea, kombucha, cranberry peach",21.0,4.22,0.0,0.01,35.0,0.0,0.0,3,3,0,0,0,0,0,6,0,6,C
"Ginger honey lemon kombucha probiotic fermented tea, ginger honey lemon",13.0,3.38,0.0,0.01,5.0,0.0,0.0,1,3,0,0,0,0,0,4,0,4,C
"Kombucha probiotic fermented tea, raspberry lemon ginger",15.0,3.8,0.0,0.01,30.0,0.0,0.0,3,3,0,0,0,0,0,6,0,6,C
"Mint lemonade kombucha probiotic fermented tea, mint lemonade",15.0,3.38,0.0,0.01,18.75,0.0,0.0,3,3,0,0,0,0,0,6,0,6,C
"Pink lemonade european soda, pink lemonade",42.0,10.56,0.0,0.0,10.28,0.0,0.0,6,8,0,0,0,0,0,14,0,14,D
"Grape mvp maximum velocity power performance sports drink, grape",23.0,5.92,0.0,0.1125,0.05625,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Strawberry watermelon performance sports drink, strawberry watermelon",23.0,5.92,0.0,0.1125,0.05625,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
"Berry blast maximum velocity power performance sports drink, berry blast",23.0,5.92,0.0,0.1125,0.0,0.0,0.0,4,4,0,1,0,0,0,9,0,9,C
Cold pressed lemonade,50.0,11.67,0.0,0.005,15.4175,0.4,0.0,7,8,0,0,0,0,0,15,0,15,D
Cold pressed lemonade juice,50.0,11.67,0.0,0.005,15.4175,0.4,0.0,7,8,0,0,0,0,0,15,0,15,D
"Raspberry lemon ginger kombucha spritzer flavored sparkling beverage, raspberry lemon ginger",8.0,2.25,0.0,0.0075,16.07142857,0.0,0.0,1,2,0,0,0,0,0,3,0,3,C
"Cranberry peach kombucha spritzer, cranberry peach",13.0,2.54,0.0,0.0075,18.75,0.0,0.0,1,2,0,0,0,0,0,3,0,3,C
"Mint lemonade kombucha spritzer flavored sparkling beverage, mint lemonade",8.0,1.97,0.0,0.0075,10.41666667,0.0,0.0,1,2,0,0,0,0,0,3,0,3,C
"Mango turmeric kombucha spritzer flavored sparkling beverage, mango turmeric",11.0,2.54,0.0,0.0075,10.41666667,0.0,0.0,1,2,0,0,0,0,0,3,0,3,C
Original Ginger Beer,41.0,9.86,0.56,0.0025,14.79,0.3,0.0,6,7,0,0,0,0,0,13,0,13,D
All natural caribbean style ginger beer,15.0,3.94,0.01,0.001,25.9765625,0.0,0.0,3,3,0,0,0,0,0,6,0,6,C
"Reed's, Culture Club Kombucha, Coffee",17.0,3.75,0.0,10.7442,0.0,0.0,0.0,3,3,0,10,0,0,0,16,0,16,D
"Reed's, Kombucha, Lemon Ginger Raspberry",21.0,4.58,0.0,0.01,20.0,0.0,0.0,3,4,0,0,0,0,0,7,0,7,C
"Reed's, Culture Club Kombucha, Hibicus Ginger Grapfruit",21.0,4.58,0.0,0.01,9.375,0.0,0.0,3,4,0,0,0,0,0,7,0,7,C
Culture Club Kombucha,21.0,4.58,0.0,0.01,1.3671875,0.0,0.0,3,4,0,0,0,0,0,7,0,7,C
Strongest Ginger Beer,40.84507042,9.85915493,0.563380282,0.003521127,14.78873239,0.281690141,0.0,6,7,0,0,0,0,0,13,0,13,D
"Reed's, Light Ginger Ale, Extra Brew",15.0,3.94,0.0,0.0025,25.9765625,0.0,0.0,3,3,0,0,0,0,0,6,0,6,C
"Reed's, Ginger Ale, Premium Brew",37.0,9.3,0.0,0.0025,25.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Advanced Nutrition High Protein Meal Replacement Shake,55.3846,0.3077,0.4615,0.1384615,6.101190476,1.5385,6.1538,8,1,0,1,0,2,3,10,5,5,C
Advanced Nutrition,55.3846,0.3077,0.4615,0.1153845,6.097560976,1.5,6.1538,8,1,0,1,0,2,3,10,5,5,C
Meal Replacement Shake,57.7,0.321,0.481,0.12,6.09375,1.6,6.41,9,1,0,1,0,2,4,11,6,5,C
Caramel cappuccino coffee & protein beverage with real milk,27.0,1.13,0.23,0.07,0.0,2.3,2.25,4,1,0,0,0,3,1,5,4,1,B
Advanced Nutrition Meal Replacement Shake,55.38,0.31,0.31,0.1407,6.09375,1.54,6.15,8,1,0,1,0,2,3,10,5,5,C
Meal shake,55.38461538,0.307692308,4.307692308,0.103846154,0.0,1.538461538,2.461538462,8,1,4,1,0,2,1,14,3,11,D
Keto meal shake,55.3846,0.3077,4.3077,0.15384625,0.0,1.5,2.4615,8,1,4,1,0,2,1,14,3,11,D
Cayenne spice hot energy,7.352941176,0.0,0.0,0.169117647,0.0,0.0,0.0,1,0,0,1,0,0,0,2,0,2,B
Hibiscus Flower Tea,31.0,5.21,0.0,0.0075,0.0,0.0,0.21,5,4,0,0,0,0,0,9,0,9,C
1888 ginger beer,45.0,11.83,0.0,0.0375,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Saranac, soft drink, black cherry cream, black cherry cream",47.0,12.11,0.0,0.01,0.0,0.0,0.0,7,9,0,0,0,0,0,16,0,16,D
Ginger beer,160.0,42.0,0.0,0.1375,0.0,0.0,0.0,10,10,0,1,0,0,0,21,0,21,E
Diet ginger beer hand - crafted soft drinks,10.0,2.54,0.0,0.0175,0.0,0.0,0.0,1,2,0,0,0,0,0,3,0,3,C
Squeezr sorrel ginger,62.8,14.8,0.0,0.015,7.4,0.0,0.0,9,10,0,0,0,0,0,19,0,19,E
"Soda, Pineapple Passionfruit",46.0,11.25,0.0,0.0425,0.0,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
"Soda, Blackberry Citrus",45.0,11.58,0.0,0.0425,1.805555556,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
Soda,54.0,13.56,0.0,0.05,0.0,0.0,0.0,8,10,0,0,0,0,0,18,0,18,D
Original Seltzer Water,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0,0,0,10,0,0,0,10,0,10,C
Soda,3.0,0.56,0.0,0.0425,0.090144231,0.0,0.0,0,1,0,0,0,0,0,1,0,1,B
Ginger Ale,40.0,9.89,0.0,0.0325,1.875,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Sparkling pink lemonade,40.0,9.6,0.0,0.0325,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
"Kroger, lite sparkling beverage, pink lemonade",7.0,1.41,0.0,0.0325,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,B
Sparkling soda,38.0,9.17,0.0,0.03,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Lite sparkling lemonade,7.0,1.41,0.0,0.0325,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,B
Lite Sparkling Lemonade,7.0,1.41,0.0,0.0325,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,B
Sparkling Lemonade,40.0,9.6,0.0,0.0325,0.0,0.0,0.0,6,7,0,0,0,0,0,13,0,13,D
Mocha Cold Brew with Almondmilk,33.8,2.95,0.0,0.2,1.475,0.422,0.422,5,2,0,2,0,0,0,9,0,9,C
Kombucha raspberry lemon ginger,18.0,4.45,0.0,0.01,4.45,0.2,0.0,3,3,0,0,0,0,0,6,0,6,C
"Apple cider 100% juice from concentrate, apple cider",46.0,11.67,0.0,0.0375,16.66666667,0.0,0.0,7,8,0,0,0,0,0,15,0,15,D
