product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,nutriscore_grade
Lemon Water 500ml,30,7.4,0,12,3.7,0,0,e
Tora Cafe Iced Milky 180,50,5,1.94,0.161,0,0,0.556,e
Creammy Latte,500,36.4,20.5,0.159,0,0,4.55,e
ultra mimi kids full cream,56,4.8,2,0.048,0,1.6,3.2,b
ultra milk mini strawberry,80,9.6,1.2,0.06,0,0.8,3.2,b
Isoplus Coco 350ml,28.6,6.86,0,0.0543,0.3,0,0,d
Cimory Squeeze Original,100,10,2,0.1875,0,3,3,b
golda coffee latte,120,15,2,0.105,0,0,2,e
purefarm full cream E-1B,130,10,3.5,0.25,0,0,7,c
Fruit Tea Rasa Apel,40,9,0,0.0563,0,0,0,e
NU Green Tea,35,8,0,0.005,0,0,0,e
GreenFields Full Cream Milk,64,4.8,2.4,0.088,0,0,3.2,b
Nabati,500,30,10,0.2,0,0,10,e
Coca Cola,40,10,0,0.0145,0,0,0,e
Bendera susu Kental Manis,333,50,5,0.0667,0,0,3.33,e
Abc Kopi Susu,60,7,1.25,0.07,0,2,0.5,e
Sari Wangi 100% Teh Asli,0,0,0,0,0,0,0,b
Kapal Api Original Black Cofee,50,9.5,0.25,0.0025,0,0,0.5,e
Gilus Mix Sweet Ginger,90,17,0,0.02,0,0,1,c
Frisian Flag Swiss Chocolate 946 ml,160,20,3,0.3125,0,0,5,c
Buavita Juice Jambu 245ml,120,23,0,0.065,0,0,0,c
Club Air Mineral,0,0,0,0,0,0,0,b
Nu Green Tea Rasa Madu,80,18,0,0.01,0,0,0,e
Coca cola Cola (diet)   Refresh 'N Connect,0,0,0,0.0227,0,0,0,b
Soda Water,0,0,0,0,0,0,0,b
Ultra Milk Full Cream,60,4,1.5,0.02,0,0.5,3,b
tarik malaka untuk,120,11,3.5,63.5,0,4,2,d
Frisian Flag Purefarm Swiss Chocolate,71.1,8.44,1.33,0.0556,0,0,2.22,b
Gilus Mix Gula Aren,60,11.3,0,0,0,0,0.667,e
Hydro Coco,60,7,0,0,0,8,0,d
Good mood lemon madu,20,4.89,0,0.00693,0,0,0,c
mineral water,0,0,0,0,0,0,0,b
Kental Manis,130,19,1.5,0.025,0,0,1,c
Ion Supply Drink 900ml,60,14,0,0,0,0,0,e
White Koffie,90,12,2,0.35,0,1,1,e
Gilus Mix Pandan,60,11.3,0,0,0,0,0.667,e
Dancow Uht Fg Coklat 110Ml,63.6,9.09,0.909,0.0682,0,0,1.82,b
Indomilk Kids Chocolate UHT Milk,69.6,9.57,1.74,0.0348,0,0,2.61,b
Fruit Tea Apel,36,8.8,0,0.06,0,0,0,e
Cimory fresh milk Marie 250ML,80,7.2,1.6,0.056,0,0,2.8,b
Frisian Flag Milky Choco,60.9,7.83,1.74,0.0435,0,0,1.74,b
Indomilk Kids Full Cream UHT Milk,52.2,0,1.3,0.12,0,0.87,2.61,b
