product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,nutriscore_grade
"Original sparkling seltzer water, original",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, black cherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Black cherry sparkling seltzer water, black cherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Lemonade with pulp,50.0,11.25,0.0,0.005,11.25,0.0,0.0,e
"Cider, honeycrisp apple",50.0,11.67,0.0,0.0,100.0,0.0,0.42,c
"Cider, spiced apple",50.0,11.67,0.0,0.0,71.875,0.0,0.42,e
Apple Cider,50.0,11.67,0.0,0.0,75.0,0.0,0.42,e
"100% juice, apple cider",50.0,11.67,0.0,0.0,75.0,0.0,0.42,e
"Green tea, unsweetened",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Rooibos tea, unsweetened tropical",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Unsweetened green tea, watermelon mint",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Real brewed artisan unsweetened hibiscus green tea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, coconut lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, ruby red grapefruit",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Mandarin orange sparkling seltzer water, mandarin orange",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, raspberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, ruby red grapefruit",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Old-fashioned limeade, lime",47.0,10.99,0.0,0.0,5.495,0.0,0.0,e
"Sparkling seltzer water, lemon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling seltzer water, cranberry lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Lemonade,15.0,3.5,0.1,0.03,0.0,0.0,0.5,d
chocolush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Zero Calorie Cola,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,b
Sparkling Spring Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
"Soda, grape",56.0,14.37,0.0,0.025,0.703125,0.0,0.0,e
Purified drinking water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Flavored sparkling water beverage, tangerine lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"French Sparkling Soda, Blood Orange",46.0,11.25,0.0,0.0,0.0,0.0,0.0,e
"French Sparkling Soda, Sicilian Lemon",58.0,14.17,0.0,0.0,12.0,0.0,0.0,e
"French Sparkling Soda, Pink Lemonade",54.0,13.33,0.0,0.0,6.665,0.0,0.0,e
"French sparkling soda, pomegranate lemon",42.0,10.0,0.0,0.0,2.5,0.0,0.0,e
"Sparkling water beverage, black cherry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water beverage, raspberry, blackberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Root Beer,48.0,12.96,0.0,0.0325,0.0,0.0,0.0,e
Diet cola,0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Dr. Tremor Soda,42.0,11.55,0.0,0.025,0.0,0.0,0.0,e
Very Low Sodium Cola,45.0,12.11,0.0,0.025,0.0,0.0,0.0,e
"Tahoe twist soda, lemon lime",42.0,11.27,0.0,0.025,0.0,0.0,0.0,e
"Soda, citrus rush",51.0,13.8,0.0,0.025,0.0,0.0,0.0,e
Zero Calorie Cola,0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
"French Sparkling Soda, Blood Orange",2.0,0.0,0.0,0.0,21.875,0.0,0.0,b
"French Sparkling Soda, Sicilian Lemon",4.0,0.0,0.0,0.0,32.1428571428571,0.0,0.0,b
"Soda, grape",48.0,12.96,0.0,0.025,0.763888888888886,0.0,0.0,e
"Soda, cream",45.0,12.39,0.0,0.025,0.0,0.0,0.0,e
Ginger Ale,39.0,10.42,0.0,0.025,0.0,0.0,0.0,e
"Diet soda, grapefruit",0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
"Soda, Cherry Cola",48.0,12.96,0.0,0.025,0.0,0.0,0.0,e
Fruit juice,51.0,10.17,0.0,0.0,0.0,0.4,0.0,e
"Electrolyte water, lemon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Electrolyte water, mixed berry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Electrolyte water, tropical mango",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Zero calorie cola,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,b
Zero calorie cola,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,b
Calorie free cola,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,b
Cola,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,b
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Mango Lassi Yogurt Drink,52.910986084411,7.0547981445881,0.0,0.0,0.0,0.44092488403676,0.88184976807351,e
2% Milkfat reduced fat milk,50.0,5.0,1.25,0.12,0.0,0.0,3.33,e
Cherry Blossom Kombucha,13.5,1.27,0.0,0.00634,0.0,0.0,0.0,c
Spring water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
"Trader joe's, natural mountain spring water",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water, grapefruit",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Lemonade from concentrate,46.0,10.83,0.0,0.005,5.41499999999999,0.0,0.0,e
"Lemonade from concentrate, raspberry",46.0,10.83,0.0,0.005,10.83,0.0,0.0,e
Purified water enhanced with electrolytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Soda, grape",54.0,12.96,0.0,0.0175,0.0,0.0,0.0,e
Cola,46.0,11.25,0.0,0.01,0.0,0.0,0.0,e
Diet cola soda,0.0,0.0,0.0,0.02,0.0,0.0,0.0,b
Caffeine free diet cola,0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Diet cherry cola,0.0,0.0,0.0,0.015,0.0,0.0,0.0,b
Lemon lime soda,42.0,10.83,0.0,0.0425,0.0,0.0,0.0,e
Diet lemon lime soda,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,b
Diet mountain roar citrus soda,0.0,0.0,0.0,0.0425,2.84090909090909,0.0,0.0,b
Diet dr. extreme soda,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,b
Orange soda,54.0,12.92,0.0,0.025,0.0,0.0,0.0,e
Diet orange soda,0.0,0.0,0.0,0.0475,0.0,0.0,0.0,b
Grape soda,58.0,14.58,0.0,0.02,0.0,0.0,0.0,e
Root beer flavored soda,50.0,12.5,0.0,0.025,0.0,0.0,0.0,e
Ginger ale soda,38.0,10.42,0.0,0.025,0.0,0.0,0.0,e
Cola,45.0,11.3,0.0,0.01,0.0,0.0,0.0,e
Diet cola,0.0,0.0,0.0,0.0175,0.0,0.0,0.0,b
Caffeine free diet cola,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,b
Lemon lime soda,45.0,11.02,0.0,0.0425,0.0,0.0,0.0,e
Diet lemon lime soda,0.0,0.0,0.0,0.035,0.0,0.0,0.0,b
Citrus diet mountain roar soda,0.0,0.0,0.0,0.04,2.84090909090909,0.0,0.0,b
Diet dr. extreme soda,0.0,0.0,0.0,0.04,0.0,0.0,0.0,b
Orange flavored soda,54.0,13.28,0.0,0.025,0.0,0.0,0.0,e
Grape soda,62.0,14.97,0.0,0.025,0.0,0.0,0.0,e
Root beer soda,51.0,12.71,0.0,0.025,0.0,0.0,0.0,e
Ginger ale soda,40.0,10.45,0.0,0.025,0.0,0.0,0.0,e
Diet ginger ale,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,b
Diet mountain roar citrus soda,0.0,0.0,0.0,0.04,2.84090909090909,0.0,0.0,b
Dr. extreme diet soda,0.0,0.0,0.0,0.04,0.0,0.0,0.0,b
Diet orange soda,0.0,0.0,0.0,0.045,0.0,0.0,0.0,b
Ginger ale,40.0,10.45,0.0,0.025,0.0,0.0,0.0,e
100% apple cider juice from concentrate with added ingredient,46.0,11.67,0.0,0.0375,16.6666666666667,0.0,0.0,e
"Light ultra-pasteurized eggnog, light",108.0,15.83,1.67,0.26,0.0,0.0,5.0,c
"Lemonade, light",6.0,1.25,0.0,0.015,11.4583333333333,0.0,0.0,c
Decaffeinated sweet tea,38.0,9.17,0.0,0.01,0.0,0.0,0.0,e
"Apple cider, apple",50.0,10.0,0.0,0.0,0.0,0.4,0.0,e
Orange soda,54.0,13.28,0.0,0.025,0.0,0.0,0.0,e
Diet pink lemonade,0.0,0.0,0.0,0.095,0.0,0.0,0.0,b
Blackberry raspberry flavored sparkling water beverage,0.0,0.0,0.0,0.0,23.6111111111111,0.0,0.0,b
Orange mango flavored sparkling water beverage,0.0,0.0,0.0,0.0,23.8095238095238,0.0,0.0,b
Kiwi strawberry flavored sparkling water beverage,0.0,0.0,0.0,0.0,23.8095238095238,0.0,0.0,b
Sparkling lemonade beverage,0.0,0.0,0.0,0.0,23.75,0.0,0.0,b
Coconut flavored sparkling water beverage,0.0,0.0,0.0,0.0,11.8421052631579,0.0,0.0,b
Sparkling strawberry watermelon flavored water beverage,0.0,0.42,0.0,0.0,23.6111111111111,0.0,0.0,b
Raspberry blackberry flavored sparkling water beverage,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Tangerine lime flavored sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
White grape flavored sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Peach flavored sparkling water beverage,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Strawberry flavored sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Key lime flavored sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Calorie free pomegranate berry flavored sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Sparkling water beverage,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Watermelon flavored sparkling water beverage,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Cherry limeade flavored sparkling water beverage,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free mixed berry flavored seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free raspberry lime flavored seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free lemon flavored seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free lime flavored seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free original seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Lemon lime seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free tonic water,37.0,9.58,0.0,0.025,0.0,0.0,0.0,e
Caffeine free ginger ale,39.0,10.42,0.0,0.025,0.0,0.0,0.0,e
Caffeine free tonic water,37.0,9.46,0.0,0.03,0.0,0.0,0.0,e
Caffeine free diet tonic water,0.0,0.0,0.0,0.03,0.0,0.0,0.0,b
Caffeine free club soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Caffeine free diet tonic water,1.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Caffeine free club soda,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free black cherry flavored seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Caffeine free cranberry and lime flavored seltzer,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Calorie free berry flavored sparkling water beverage,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Lime flavored sparkling water beverage,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,b
Barista bill's coffee,71.0,11.25,0.83,0.095,0.0,0.0,2.08,e
Iced coffee,62.0,10.83,0.62,0.0875,0.0,0.0,2.08,e
Iced Coffee,72.0,11.83,0.85,0.09652,0.0,0.0,2.11,e
Caffeine free black cherry flavored sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Caffeine free key lime flavored sparkling water beverage, key lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Caffeine free strawberry flavored sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Cola,42.0,11.83,0.0,0.025,0.0,0.0,0.0,e
Diet cola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Ginger ale,39.0,10.42,0.0,0.025,0.0,0.0,0.0,e
"Diet soda, ginger ale",0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Simply clear sparkling water beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Unsweetened cranberry raspberry flavored sparkling water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling pink grapefruit flavored water beverage, pink grapefruit",0.0,0.0,0.0,0.0,2.5,0.0,0.0,b
Seltzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Seltzer ruby red grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Caffeine free ginger beer,51.0,12.5,0.0,0.03,0.0,0.0,0.0,e
Premium lemonade,50.0,11.67,0.0,0.01,4.1675,0.0,0.0,e
Original lemonade,50.0,11.67,0.0,0.01,10.0025,0.0,0.0,e
Raspberry lemonade,46.0,12.08,0.0,0.01,16.35,0.0,0.0,e
Lemonade,54.0,13.33,0.0,0.03,5.8325,0.0,0.0,e
Sweet tea,38.0,9.17,0.0,0.01,0.0,0.0,0.0,e
Zero calorie cola,0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Zero calorie cola,0.0,0.0,0.0,0.015,0.0,0.0,0.0,b
Unsweetened tea,38.0,0.0,0.0,0.01,0.0,0.0,0.0,d
Cranberry ginger ale,42.0,10.42,0.0,0.025,0.0,0.0,0.0,e
Diet root beer,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,b
Diet root beer,0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Diet cream soda,0.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Diet tonic water,2.0,0.0,0.0,0.025,0.0,0.0,0.0,b
Tonic water,37.0,8.67,0.0,0.025,0.0,0.0,0.0,e
Original seltzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Club soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Original lemonade, original",50.0,11.67,0.0,0.015,4.1675,0.0,0.0,e
Raspberry lemonade,46.0,10.83,0.0,0.015,9.3725,0.0,0.0,e
"Lemon lime soda, lemon lime",42.0,9.72,0.0,0.0275,0.0,0.0,0.0,e
"Sparkling water, mandarin orange",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water, lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water, raspberry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water, mixed berry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Unsweetened pure green tea, green",0.0,0.0,0.0,0.0225,0.0,0.0,0.0,b
"Pure green jasmine just tea, green jasmine",0.0,0.0,0.0,0.015,0.0,0.0,0.0,b
"Unsweetened pure black tea, unsweetened",0.0,0.0,0.0,0.0175,0.0,0.0,0.0,b
Unsweetened pure green tea,0.0,0.0,0.0,0.02,0.0,0.0,0.0,b
Just green tea,0.0,0.0,0.0,0.0225,0.0,0.0,0.0,b
"Unsweetened pure green jasmine tea, green jasmine",0.0,0.0,0.0,0.015,0.0,0.0,0.0,b
Cranberry lime european soda,53.0,13.06,0.0,0.0,0.0,0.0,0.0,e
Sicilian lemon frizzante european soda,58.0,14.55,0.0,0.0,0.0,0.0,0.0,e
Blood orange frizzante european soda,45.0,11.21,0.0,0.0,0.0,0.0,0.0,e
Orange flavored soda,56.0,14.93,0.0,0.025,0.0,0.0,0.0,e
"Flavored sparkling water, lime",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Sicilian lemon frizzante european soda,58.0,14.44,0.0,0.0,7.22,0.0,0.0,e
"Sparkling water, plain",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Sour cherry lemon frizzante european soda,53.0,13.06,0.0,0.0,0.0,0.0,0.0,e
"Sparkling water, black cherry vanilla",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water, orange pineapple",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water, lime mint",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
Blood orange frizzante european soda,44.0,11.11,0.0,0.0,0.0,0.0,0.0,e
"Lemon lime performance sports drink, lemon lime",23.0,5.92,0.0,0.1125,0.0,0.0,0.0,d
"Performance sports drink, orange",8.0,1.97,0.0,0.1125,0.0,0.0,0.0,c
"Performance sports drink, lemon lime",8.0,1.97,0.0,0.1125,0.0,0.0,0.0,c
"Orange performance sports drink, orange",22.0,5.75,0.0,0.115,0.0,0.0,0.0,d
"Mvp maximum velocity power performance sports drink, lemon lime",22.0,5.75,0.0,0.115,0.0,0.0,0.0,d
"Performance sports drink, fruit punch",22.0,5.75,0.0,0.115,1.39375,0.0,0.0,d
"Performance sports drink, orange",8.0,2.03,0.0,0.115,0.0,0.0,0.0,c
"Performance sports drink, orange",23.0,5.92,0.0,0.1125,0.0,0.0,0.0,d
"Performance sports drink, fruit punch",23.0,5.92,0.0,0.1125,1.39062500000001,0.0,0.0,d
"Grapefruit sparkling water, grapefruit",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Ginger sparkling water, ginger",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
"Sparkling water, watermelon",0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
